4076.0000	3899.0000	3949.0000	3443.0000	4421.0000	2908.0000	
3156.0000	2986.0000	3206.0000	2870.0000	3538.0000	2150.0000	
4207.0000	4238.0000	3840.0000	3397.0000	4316.0000	3228.0000	
3763.0000	3677.0000	3511.0000	3188.0000	3985.0000	2725.0000	
3657.0000	3580.0000	3699.0000	3551.0000	4163.0000	2463.0000	
3509.0000	3646.0000	3095.0000	2813.0000	3645.0000	2762.0000	

4076.0000	3899.0000	3949.0000	3443.0000	4421.0000	2908.0000	
3156.0000	2986.0000	3206.0000	2870.0000	3538.0000	2150.0000	
4207.0000	4238.0000	3840.0000	3397.0000	4316.0000	3228.0000	
3763.0000	3677.0000	3511.0000	3188.0000	3985.0000	2725.0000	
3657.0000	3580.0000	3699.0000	3551.0000	4163.0000	2463.0000	
3509.0000	3646.0000	3095.0000	2813.0000	3645.0000	2762.0000	

275.0000	310.0000	313.0000	317.0000	264.0000	264.0000	
252.0000	230.0000	292.0000	218.0000	206.0000	196.0000	
273.0000	306.0000	234.0000	341.0000	333.0000	267.0000	
255.0000	262.0000	272.0000	306.0000	248.0000	248.0000	
281.0000	237.0000	347.0000	273.0000	244.0000	241.0000	
250.0000	266.0000	197.0000	264.0000	283.0000	231.0000	

275.0000	310.0000	313.0000	317.0000	264.0000	264.0000	
252.0000	230.0000	292.0000	218.0000	206.0000	196.0000	
273.0000	306.0000	234.0000	341.0000	333.0000	267.0000	
255.0000	262.0000	272.0000	306.0000	248.0000	248.0000	
281.0000	237.0000	347.0000	273.0000	244.0000	241.0000	
250.0000	266.0000	197.0000	264.0000	283.0000	231.0000	


[7 milliseconds execution time.]
