1.0000	0.5000	0.3333	0.2500	0.2000	0.1667	0.1429	0.1250	0.1111	0.1000	
0.5000	0.3333	0.2500	0.2000	0.1667	0.1429	0.1250	0.1111	0.1000	0.0909	
0.3333	0.2500	0.2000	0.1667	0.1429	0.1250	0.1111	0.1000	0.0909	0.0833	
0.2500	0.2000	0.1667	0.1429	0.1250	0.1111	0.1000	0.0909	0.0833	0.0769	
0.2000	0.1667	0.1429	0.1250	0.1111	0.1000	0.0909	0.0833	0.0769	0.0714	
0.1667	0.1429	0.1250	0.1111	0.1000	0.0909	0.0833	0.0769	0.0714	0.0667	
0.1429	0.1250	0.1111	0.1000	0.0909	0.0833	0.0769	0.0714	0.0667	0.0625	
0.1250	0.1111	0.1000	0.0909	0.0833	0.0769	0.0714	0.0667	0.0625	0.0588	
0.1111	0.1000	0.0909	0.0833	0.0769	0.0714	0.0667	0.0625	0.0588	0.0556	
0.1000	0.0909	0.0833	0.0769	0.0714	0.0667	0.0625	0.0588	0.0556	0.0526	

31.1176	-410.0374	980.5000	1809.8945	-3631.9531	-16742.1504	39107.8320	-11606.5938	-24397.8086	14871.9775	
-402.8744	5003.3975	11417.7422	-158741.3125	160080.5000	790308.0000	-1688275.6250	493662.0000	978840.1250	-592389.1875	
862.6765	13524.6250	-426795.7500	2031261.0000	-1295949.0000	-8860977.0000	16797704.0000	-3959074.0000	-10110597.0000	5814544.5000	
2362.6514	-172576.8125	2096562.5000	-7315930.0000	532508.0000	38836388.0000	-60071152.0000	4738424.0000	44125684.0000	-22787350.0000	
-4512.5469	187071.8125	-1488395.0000	1008150.0000	22049116.0000	-71952584.0000	65795320.0000	33823392.0000	-85489072.0000	36088536.0000	
-16487.2422	782750.2500	-8760436.0000	37983636.0000	-69052680.0000	28569366.0000	65578480.0000	-78022296.0000	16897382.0000	6052799.0000	
38416.6914	-1694824.2500	16954068.0000	-59478312.0000	57171040.0000	86349504.0000	-152154112.0000	-79917632.0000	239341648.0000	-106660336.0000	
-7804.7109	438746.5000	-3940780.0000	4078944.0000	46675200.0000	-124272832.0000	-24276256.0000	392623136.0000	-452186912.0000	160924096.0000	
-29144.4453	1073460.1250	-10443330.0000	45082340.0000	-95270800.0000	57325144.0000	172057232.0000	-409456096.0000	345834048.0000	-106205952.0000	
16692.4395	-633274.4375	6001455.5000	-23248994.0000	39053664.0000	-6758958.5000	-82118760.0000	139729456.0000	-99389776.0000	27358160.0000	

0.9581	0.4194	0.2327	0.1390	0.0841	0.0490	0.0253	0.0088	-0.0031	-0.0118	
0.4249	0.2368	0.1438	0.0901	0.0563	0.0337	0.0180	0.0068	-0.0014	-0.0075	
0.2429	0.1481	0.0945	0.0612	0.0392	0.0241	0.0134	0.0056	-0.0001	-0.0045	
0.1528	0.0976	0.0643	0.0427	0.0280	0.0177	0.0103	0.0049	0.0008	-0.0023	
0.1006	0.0661	0.0446	0.0303	0.0204	0.0133	0.0082	0.0043	0.0014	-0.0008	
0.0675	0.0453	0.0311	0.0216	0.0149	0.0101	0.0066	0.0039	0.0019	0.0003	
0.0452	0.0308	0.0216	0.0154	0.0110	0.0078	0.0054	0.0036	0.0023	0.0012	
0.0297	0.0205	0.0147	0.0108	0.0080	0.0060	0.0045	0.0034	0.0025	0.0018	
0.0185	0.0129	0.0095	0.0073	0.0058	0.0046	0.0038	0.0032	0.0027	0.0023	
0.0102	0.0073	0.0056	0.0047	0.0040	0.0036	0.0032	0.0030	0.0028	0.0026	


[12 milliseconds execution time.]
